title,authors,publish_year,editions,cover_id,openlibrary_id
The Hunger Games,Suzanne Collins,2008,142,12646537,OL5735363W
Twilight,Stephenie Meyer,2005,120,12641977,OL5720023W
The Kite Runner,"Khaled Hosseini, Kh Khosseini",2003,125,14846827,OL5781992W
The Lost Symbol,Dan Brown,2009,120,8373389,OL14873315W
Catching Fire,Suzanne Collins,2009,112,12646539,OL5735360W
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,144,15158660,OL82586W
The Da Vinci Code,Dan Brown,2003,197,9255229,OL76837W
Diary of a Wimpy Kid,Jeff Kinney,2002,100,14376136,OL8483260W
The Lightning Thief,Rick Riordan,2005,101,7239831,OL492658W
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,246,15158666,OL82548W
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,176,10716273,OL82565W
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2002,108,7890719,OL2965102W
The Power of Darkness,Edith Nesbit,2006,125,882715,OL407498W
La sombra del viento,Carlos Ruiz Zafón,2001,99,10107644,OL278437W
The Boy in the Striped Pyjamas,John Boyne,2006,98,12720687,OL5840870W
Coraline,Neil Gaiman,2001,94,14171421,OL679358W
Mockingjay,Suzanne Collins,2010,94,6304853,OL14908941W
Deception Point,Dan Brown,2001,92,14553479,OL76835W
Shades of Grey,E. L. James,2011,92,14566669,OL16550682W
New Moon,Stephenie Meyer,2006,88,12643406,OL5720027W
Eclipse,Stephenie Meyer,2006,88,12643410,OL5720025W
Divergent,Veronica Roth,2010,88,13274634,OL15719630W
Sapiens,"Yuval Noah Harari, Daniel Casanave, David Vandermeulen, Pierre-Emmanuel Dauzat, Joandomènec Ros i Aragonès, Andoni Sagarna, Xabier Kintana, David Casanave",2011,86,8634250,OL17075811W
Fifty Shades Darker,E. L. James,2011,83,14566702,OL16550681W
Dog Days,Jeff Kinney,2004,80,12366143,OL5682519W
The Fault in Our Stars,John Green,2010,78,7418786,OL16444438W
Män som hatar kvinnor,Stieg Larsson,2005,77,9274740,OL5784622W
Atonement,Ian McEwan,2001,76,8381043,OL1855944W
The Name of the Wind,"Patrick Rothfuss, Marc Simonetti",2007,76,11480483,OL8479867W
The Martian,Andy Weir,2011,71,11447888,OL17091839W
American Gods,Neil Gaiman,2001,72,8494659,OL679360W
The Sea of Monsters,Rick Riordan,2006,72,108909,OL492646W
Rodrick Rules,Jeff Kinney,2007,71,8542270,OL15110516W
The Road,Cormac McCarthy,2006,69,198120,OL40873W
A Feast for Crows,George R. R. Martin,2005,69,6501256,OL257948W
Tintenherz,Cornelia Funke,2003,69,3330314,OL941669W
All the Light We Cannot See,Anthony Doerr,2014,66,14559680,OL16821606W
1st to Die,James Patterson,2001,66,13147028,OL167189W
Prey,Michael Crichton,2002,65,10984324,OL46883W
Insurgent,Veronica Roth,2011,64,7083755,OL16325201W
The Gruffalo's Child,Julia Donaldson,2004,65,575575,OL1938211W
Artemis Fowl and the Eternity Code,Eoin Colfer,2003,63,12636263,OL5725961W
The Willows,Algernon Blackwood,2002,280,2751803,OL2700635W
Freakonomics,"Steven D. Levitt, Stephen J. Dubner, Andrea Montero Cusset",2005,63,11172914,OL278022W
Shutter Island,Dennis Lehane,2003,64,28990,OL17200W
The Battle of the Labyrinth,Rick Riordan,2008,62,6274739,OL492640W
Cell,Stephen King,2006,61,14654054,OL81597W
Room on the Broom,Julia Donaldson,2001,61,10839950,OL1938251W
The Titan's Curse,Rick Riordan,2007,61,14601475,OL492647W
A Thousand Splendid Suns,Khaled Hosseini,2007,61,8579790,OL5782000W
